Brand,Product Catergory,Product,DefaultSku,Description,Class,Type,Payment Type,SKU,RRP,Variation:Model,Airtable Record ID
,,,,,product,accessory,upfront,QLC-GS24P,22.99,Galaxy S24+,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS24U,22.99,Galaxy S24 Ultra,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GA54,22.99,Galaxy A54,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GA34,22.99,Galaxy A34,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS23,22.99,Galaxy S23,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS23P,22.99,Galaxy S23+,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS23U,22.99,Galaxy S23 Ultra,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS22,22.99,Galaxy S22,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS22P,22.99,Galaxy S22+,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS22L,22.99,Galaxy S22 Ultra,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS21FE,22.99,Galaxy S21 FE,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS21,22.99,Galaxy S21,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS21P,22.99,Galaxy S21+,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS21U,22.99,Galaxy S21 Ultra,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS20FE,22.99,Galaxy S20 FE,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GN20,22.99,Galaxy Note20,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GN20ULT,22.99,Galaxy Note20 Ultra,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS20,22.99,Galaxy S20,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS20P,22.99,Galaxy S20+,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS20U,22.99,Galaxy S20 Ultra,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GN10PLS,22.99,Galaxy Note10+,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS10,22.99,Galaxy S10,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS10PLS,22.99,Galaxy S10+,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GS10LTE,22.99,Galaxy S10e,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-GN9,22.99,Galaxy Note9,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-PIX8A,22.99,Pixel 8A MAG Case - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-PIX8,22.99,Pixel 8 - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-PIX8PRO,22.99,Pixel 8 Pro - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-PIX7A,22.99,Pixel 7A - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-PIX7,22.99,Pixel 7 - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-PIX7PRO,22.99,Pixel 7 Pro - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-PIX6A,22.99,Pixel 6A - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-PIX6,22.99,Pixel 6,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-PIX6PRO,22.99,Pixel 6 Pro,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-PIX5,22.99,Pixel 5,recT8BxkYZjHhvX3d
